barcode,name,unit
FAH64006873,ถุงหูหิ้วตราดาว หนา 12x26 *10ห่อ,มัด
18851907283787,เรนาซองซ์สมุดวาดเขียนเรียบ A3 R-206 *6ล,แพ็ค
9555684652133,ปากกาแดง0.5CX PLUS เฟเบอร์ *10ด,แพ็ค
4746922463,ปากกา DONG-A หมึกเจล 0.5มม. Jellzone หมึกแดง No.13 (12ด้าม/กล่อง),กล่อง
4746617621,ไหมพรมG-5002-6/40กรัม สีชมพูเข้ม*12,แพ็ค
FAH64000695,ธงชาติ50x75cm.*10ผ,แพ็ค
47465014652,ปากกาหมึกเจลแบบกด Pentel ENERGEL BL77-C 0.7mm. หมึกน้ำเงิน (12ด้าม/กล่อง),กล่อง
47465015640,คาร์บอนฟิล์มน้ำเงิน ซัฟไฟล์*10แผ่น,แพ็ค
884851023339,สีชอล์คเพนเทล16สี *12ก,แพ็ค
4007817186572,ปากกา STAEDLER ลูกลื่น 0.7มม. 4272F หมึกน้ำเงิน (50ด้าม/กระบอก),กระบอก
4746822240,เทปกระดาษกาวสองหน้า CROCO 36มม.x10หลา (4ม้วน/แพ็ค),แพ็ค
4743696,สมุดฉีกเล็กNo.4-100 ไม่มีเส้น *20ล,แพ็ค
610105140410,40410 ปากกาลบคำผิด39284 *12,กล่อง
6937168831617,ปากกา M&G หมึกเจล 0.38มม. AGPB4202 หมึกน้ำเงิน (12ด้าม/กล่อง),กล่อง
18851907132887,สมุดวาดเขียน100G10แผ่นD-404*12*มาสเตอร์อาร์ต,แพ็ค
4746922953,แก้วน้ำพลาสติก No.15 (12ใบ/แพ็ค),แพ็ค
4007817100608,ดินสอดำ EE สเต็ดเล่อร์ (12แท่ง/กล่อง),กล่อง
FAH64001405,กรรไกร KTV 8นิ้ว No.3008 (12ชิ้น/กล่อง),กล่อง
FAH64006438,โบว์ผีเสื้อ30มิลสีทอง PRM30-1GL *10ช,แพ็ค
9555684673985,73985 ปากกาเน้นข้อความสลิม ม่วงพาสเทล *10ด*เฟเบอร์,กล่อง
084511382183,ยางลบFoam SAKURA XRFW-60 ขาว (60ก้อน/กล่อง),กล่อง
47465013316,ตราช้าง แฟ้มกระเป๋าซองตาไก่ 431F น้ำเงิน*12ช,แพ็ค
47466016740,พลาสติกใสห่อปก ม้วนใหญ่ หนา0.7 48x75 หลา,ม้วน
4746617599,ไหมพรมG-5001-6/15กรัม สีชมพูเข้ม*12,แพ็ค
FAH64000945,ตราช้างคัตเตอร์ H-1801 18mm. *12อ,กล่อง
47465014719,กระดาษโปสเตอร์สี2หน้าคละสี*100ผ,แพ็ค
6935205304704,กระดาษโน๊ต deli No.11402 (24ชิ้น),กล่อง
4746820750,ปากกาเจลลูลอยด์ Quantum 007 Pearl หมึกแดง 0.7 (50ด้าม/กระบอก),กระบอก
4740198,พู่กันกลมไทยแหลมทอง #8 *6ด,แพ็ค
47465014901,โบว์ผีเสื้อ18มิล สีเงิน PRM18-2SV,แพ็ค
FAH64008778,DLยางลบ 7532 *45ก,กล่อง
4746820873,ปากกา flexoffice หมึกน้ำมัน แบบกด BESTstyle 0.7มม. FO-GELB012 หมึกน้ำเงิน (12ด้าม/กระปุก),กระปุก
47464012376,ผ้าเช็ดหน้าเนื้อนอก15*30*12ผ.,โหล
4746922477,ดินสอสีแท่งยาว Master Art 24สี (12กล่อง/แพ็ค),แพ็ค
4746617871,เทปผ้า Armstrong 36mmx8 สีเขียวอ่อน (8ม้วน/แพ็ค),แพ็ค
4740104,สมุดฉีก ตราไก่ No.4 (20เล่ม/แพ็ค),แพ็ค
FAH64000142,กระดาษชาร์ทสีใหญ่คละสี (5แผ่น),ม้วน
47465014873,ปากกาเจลลูลอยด์ Quantum 007 HITZ หมึกน้ำเงิน 0.7 คละสี (50ด้าม/กระบอก),กระบอก
6941458323591,ปากกาตัดเส้นสีดำ0.05 M&G *12ด,กล่อง
6947503733100,33100 ปากกาลูกลื่น4สี M&G ABP80371 *12ด,กล่อง
8851023006713,ปากกาเพ้นท์เข็ม SAKURA ทองแดง *12,โหล
4746617634,AA สมุดนักเรียน สพฐ เส้นตาราง 40แผ่น (24เล่ม/แพ็ค),แพ็ค
FAH64000055,กาวน้ำยู้ฮู พอร์ 50ml. *10ช,แพ็ค
8809331230672,ปากกาลูกลื่น บอสซั่ม 0.38 FASTER CX914 แดง ด้ามใส (12ด้าม/กล่อง),กล่อง
47464011080,ปากกาไวท์บอร์ด PILOT ดำ 12ด้าม/กล่อง,กล่อง
4740087,สมุดโน๊ตริมลวด ER4440 *6ล,แพ็ค
47465013342,ดินสอต่อไส้ คิตตี้แพ็ค48 KT-1748,กระปุก
