code,barcode2,name,unit
6956953562499,,ปากกาเจลลบได้กระต่าย GP-3392 *12ด,กล่อง
47464011078,8851295510031,ปากกาไวท์บอร์ด PILOT สีแดง 12ด้าม/กล่อง,กล่อง
8851023013506,,พู่กันกลม I-PAINT #3 (12ชิ้น/แพ็ค),แพ็ค
FAH64000044,28851907172477,"กรรไกร ตราช้าง 6""1/2นิ้ว OFE1265NP (12ชิ้น/กล่อง)",กล่อง
47465015646,8858741765762,AA สมุดนักเรียน สพฐ เส้นครึ่งบรรทัด 80แผ่น (12เล่ม/แพ็ค),โหล
4746922700,8851023042087,ปากกาลูกลื่น g'soft Quick 0.5มม. แบบกด หมึกน้ำเงิน (50ด้าม/กระบอก),กระบอก
47464011178,,ผ้าเช็ดหน้าบาง*หัวม้า*No.202*11x11*12ช.,แพ็ค
8854556000340,08854556000340,ปากกาลบคำผิด ลิควิดเปเปอร์3.5มล. (12ชิ้น/กล่อง),กล่อง
8851907278045,,ปากกาสเก็ต222 0.5ดูโอสเตร็ท2หัว *50ด,กระปุก
8809331230603,,ปากกาลูกลื่น DOTTY DOT 0.38 FASTER CX913 น้ำเงิน (12ด้าม/กล่อง),กล่อง
8851907278700,,ปากกา Quantum ลูกลื่น M5 MAXX 0.5มม. หมึกน้ำเงิน (50ด้าม/กระบอก),กระปุก
47464011894,,ปากกาลูกลื่น153*การ์ตูน0.5*ม่วงแม่มด*12ด.,แพ็ค
18851907132863,,สมุดวาดเขียน D-402  *12ล*มาสเตอร์อาร์ต,แพ็ค
14895151521589,,ปากกาเจล0.5mm(ฟ้า)เปเปอร์เมท *12ด,กล่อง
47464012247,9555684652614,ปากกาเฟเบอร์CX Plus*0.5แดง*25ด.,กระบอก
47465014352,8855864000381,ปากกาลบคำผิด 7มล. No.VB374*12pc,แพ็ค
4741832,,สมุดรายงาน NP273-002B *12ล,แพ็ค
6931100523493,,ปากกาเจล FASTER CX718 LUMINIE 0.5 BLUE (12ด้าม/กล่อง),กล่อง
8851181006464,,ลูกปิงปอง CROWNSTAR 40มม. สีส้ม (60ลูก/กระปุก),กระปุก
FAH64004011,4742481,ดินน้ำมันไร้สารพิษPO-500Aคละสี *24ก,ลัง
FAH64004061,8822170053530,เข็มถักโคเช1หัว #5 *12ช,แพ็ค
47464010899,6924247427007,ปากกาไวท์บอร์ดMarker*CSH700*CHosch*10ด.คละสี,กล่อง
10084511320182,,ปากกาเจลลี่โรล มูลไลท์ เขียว XPGB432 *12ด,กล่อง
47466016666,,ไม้บรรทัดอลูมิเนียม 8นิ้ว Hawk HK-AL20 *12 ชิ้น,แพ็ค
4746617996,,พู่กันกลม ไทยแหลมทอง #4 *12ด,แพ็ค
